OID_,Field1,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,lat,long,stationame,station_id_min_2020,monthtotal_sum_2019,monthtotal_sum_2020,F_2019_2020__2019,F2019_2020
179,178,30215,N,Halsted (Loop-bound),Halsted,Halsted (Orange Line),41130,True,False,False,False,False,False,False,False,False,True,"(41.84678, -87.648088)",41.846780000000003,-87.648088000000001,Halsted-Orange,41130,766196,275368,0.640603709755728,490828
180,179,30212,S,Monroe (95th-bound),Monroe,Monroe (Red Line),41090,False,True,False,False,False,False,False,False,False,False,"(41.880745, -87.627696)",41.880744999999997,-87.627696000000000,Monroe/State,41090,2900809,777831,0.731857216383430,2122978
181,180,30075,W,Clark/Lake (Outer Loop),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,True,False,False,True,True,False,False,False,False,False,"(41.885737, -87.630886)",41.885736999999999,-87.630886000000004,Clark/Lake,40380,5830767,1648674,0.717245775727276,4182093
182,181,30241,N,Central (Linden-bound),Central,Central (Purple Line),41250,False,False,False,False,False,True,True,False,False,False,"(42.063987, -87.685617)",42.063986999999997,-87.685616999999993,Central-Evanston,41250,243564,102620,0.578673367164277,140944
183,182,30005,E,Pulaski (63rd-bound),Pulaski,Pulaski (Green Line),40030,True,False,False,True,False,False,False,False,False,False,"(41.885412, -87.725404)",41.885412000000002,-87.725403999999997,Pulaski-Lake,40030,455496,234734,0.484662872999982,220762
184,183,30120,W,Ridgeland (Harlem-bound),Ridgeland,Ridgeland (Green Line),40610,False,False,False,True,False,False,False,False,False,False,"(41.887159, -87.783661)",41.887158999999997,-87.783660999999995,Ridgeland,40610,386792,122683,0.682819189641978,264109
185,184,30176,S,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow lines)",40900,True,False,False,False,False,True,True,True,False,False,"(42.019063, -87.672892)",42.019063000000003,-87.672892000000004,Howard,40900,1650809,762300,0.538226408990986,888509
186,185,30204,S,Linden (Howard-Loop-bound),Linden,Linden (Purple Line),41050,True,False,False,False,False,True,True,False,False,False,"(42.073153, -87.69073)",42.073152999999998,-87.690730000000002,Linden,41050,296321,89189,0.699012219856169,207132
187,186,30010,N,Davis (Linden-bound),Davis,Davis (Purple Line),40050,True,False,False,False,False,True,True,False,False,False,"(42.04771, -87.683543)",42.047710000000002,-87.683543000000000,Davis,40050,1091440,393596,0.639379168804515,697844
188,187,30223,N,Garfield (Howard-bound),Garfield,Garfield (Red Line),41170,True,True,False,False,False,False,False,False,False,False,"(41.79542, -87.631157)",41.795420000000000,-87.631157000000002,Garfield-Dan Ryan,41170,940726,424323,0.548940924349917,516403
